route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,direction_name,non_revenue_trip,bikes_allowed
vilnius_nightbus_N2,450715,AN2-03-5-250425-ba-2550,"Centras",1,AN2-03-5-250425-2407039,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-ba-2620,"Centras",1,AN2-01-5-250425-2407037,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-ba-2650,"Centras",1,AN2-02-5-250425-2407038,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-ba-2720,"Centras",1,AN2-03-5-250425-2407039,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-b1a-2450,"Bitėnų st.",1,AN2-01-5-250425-2407037,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-b1a-2520,"Bitėnų st.",1,AN2-02-5-250425-2407038,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-b1a-2550,"Bitėnų st.",1,AN2-03-5-250425-2407039,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-b1a-2620,"Bitėnų st.",1,AN2-01-5-250425-2407037,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-b1a-2650,"Bitėnų st.",1,AN2-02-5-250425-2407038,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-b1a-2720,"Bitėnų st.",1,AN2-03-5-250425-2407039,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-bd-2740,"2-asis troleibusų parkas (Justiniškių g.)",1,AN2-01-5-250425-2407037,vilnius_nightbus_N2_b-d,1,"Pilaitė–2-asis troleibusų parkas (Justiniškių g.)",1,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-bd-2810,"2-asis troleibusų parkas (Justiniškių g.)",1,AN2-02-5-250425-2407038,vilnius_nightbus_N2_b-d,1,"Pilaitė–2-asis troleibusų parkas (Justiniškių g.)",1,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-bd-2840,"2-asis troleibusų parkas (Justiniškių g.)",1,AN2-03-5-250425-2407039,vilnius_nightbus_N2_b-d,1,"Pilaitė–2-asis troleibusų parkas (Justiniškių g.)",1,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-da-2330,"Centras",0,AN2-01-5-250425-2407037,vilnius_nightbus_N2_d-a,1,"2-asis troleibusų parkas (Justiniškių g.)–Karoliniškės–Lazdynai–Centras",1,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-da-2400,"Centras",0,AN2-02-5-250425-2407038,vilnius_nightbus_N2_d-a,1,"2-asis troleibusų parkas (Justiniškių g.)–Karoliniškės–Lazdynai–Centras",1,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-da-2430,"Centras",0,AN2-03-5-250425-2407039,vilnius_nightbus_N2_d-a,1,"2-asis troleibusų parkas (Justiniškių g.)–Karoliniškės–Lazdynai–Centras",1,0
vilnius_nightbus_N3,456589,AN3-01-5-250614-ab-2400,"Santariškės",0,AN3-01-5-250614-2440862,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0,0
vilnius_nightbus_N3,456589,AN3-02-5-250614-ab-2430,"Santariškės",0,AN3-02-5-250614-2440863,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0,0
vilnius_nightbus_N3,456589,AN3-03-5-250614-ab-2500,"Santariškės",0,AN3-03-5-250614-2440864,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0,0
vilnius_nightbus_N3,456589,AN3-01-5-250614-ab-2530,"Santariškės",0,AN3-01-5-250614-2440862,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0,0
vilnius_nightbus_N3,456589,AN3-02-5-250614-ab-2600,"Santariškės",0,AN3-02-5-250614-2440863,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0,0
vilnius_nightbus_N3,456589,AN3-03-5-250614-ab-2630,"Santariškės",0,AN3-03-5-250614-2440864,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0,0
vilnius_nightbus_N3,456589,AN3-01-5-250614-ab-2700,"Santariškės",0,AN3-01-5-250614-2440862,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0,0
vilnius_nightbus_N3,456589,AN3-02-5-250614-ab-2730,"Santariškės",0,AN3-02-5-250614-2440863,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0,0
vilnius_nightbus_N3,456589,AN3-03-5-250614-ab-2800,"Santariškės",0,AN3-03-5-250614-2440864,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0,0
vilnius_nightbus_N3,456589,AN3-01-5-250614-ba-2450,"Centras",1,AN3-01-5-250614-2440862,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0,0
vilnius_nightbus_N3,456589,AN3-02-5-250614-ba-2520,"Centras",1,AN3-02-5-250614-2440863,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0,0
vilnius_nightbus_N3,456589,AN3-03-5-250614-ba-2550,"Centras",1,AN3-03-5-250614-2440864,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0,0
