stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
6317,1640,"Lazdynai","link Laisvės pr.",54.67761,25.21259,https://www.stops.lt/vilnius/index.html#stop/1640,,
6318,1611,"Lazdynai","link baseino",54.67778,25.21233,https://www.stops.lt/vilnius/index.html#stop/1611,,
783,1615,"Lazdynų seniūnija","link Laisvės pr.",54.67520,25.20412,https://www.stops.lt/vilnius/index.html#stop/1615,,
6320,1616,"Lazdynų seniūnija","link Oslo g.",54.67473,25.20258,https://www.stops.lt/vilnius/index.html#stop/1616,,
756,1622,"Oslo st.","link Laisvės pr.",54.67016,25.19759,https://www.stops.lt/vilnius/index.html#stop/1622,,
3589,1641,"Žėručio st.","link Laisvės pr.",54.67661,25.20840,https://www.stops.lt/vilnius/index.html#stop/1641,,
6319,1614,"Žėručio st.","link Oslo g.",54.67642,25.20696,https://www.stops.lt/vilnius/index.html#stop/1614,,
6337,2401,"Eigulių st.","link centro",54.66900,25.23547,https://www.stops.lt/vilnius/index.html#stop/2401,,
6338,0608,"Eigulių st.","iš centro",54.66935,25.23571,https://www.stops.lt/vilnius/index.html#stop/0608,,
6461,1609,"Lazdynai","link centro",54.67891,25.21331,https://www.stops.lt/vilnius/index.html#stop/1609,,
6648,1610,"Lazdynai","iš centro",54.67926,25.21329,https://www.stops.lt/vilnius/index.html#stop/1610,,
790,1603,"LITEXPO","iš centro",54.67561,25.22250,https://www.stops.lt/vilnius/index.html#stop/1603,,
6333,1604,"LITEXPO","link centro",54.67577,25.22186,https://www.stops.lt/vilnius/index.html#stop/1604,,
720,1601,"Miškiniai","iš centro",54.67119,25.22725,https://www.stops.lt/vilnius/index.html#stop/1601,,
721,1602,"Miškiniai","link centro",54.67093,25.22641,https://www.stops.lt/vilnius/index.html#stop/1602,,
6460,1636,"Paukščių takas","link centro",54.68065,25.20884,https://www.stops.lt/vilnius/index.html#stop/1636,,
6462,1635,"Paukščių takas","iš centro",54.68085,25.20922,https://www.stops.lt/vilnius/index.html#stop/1635,,
7560,1623,"Oslo st.","link Lazdynėlių",54.66953,25.19796,https://www.stops.lt/vilnius/index.html#stop/1623,,
6350,1626,"Lazdynų ligoninė","link centro",54.67031,25.20903,https://www.stops.lt/vilnius/index.html#stop/1626,,
6351,1624,"Lazdynų ligoninė","iš centro",54.67050,25.20809,https://www.stops.lt/vilnius/index.html#stop/1624,,
6352,1629,"Šiltnamių st.","link centro",54.67091,25.21492,https://www.stops.lt/vilnius/index.html#stop/1629,,
6353,1628,"Šiltnamių st.","iš centro",54.67106,25.21418,https://www.stops.lt/vilnius/index.html#stop/1628,,
6379,1627,"Jonažolių st.","link Bukčių",54.66985,25.20846,https://www.stops.lt/vilnius/index.html#stop/1627,,
6381,1625,"Jonažolių st.","link Oslo g.",54.66997,25.20740,https://www.stops.lt/vilnius/index.html#stop/1625,,
4945,5158,"Lazdynų ligoninė","visos kryptys",54.66907,25.20662,https://www.stops.lt/vilnius/index.html#stop/5158,,
6401,1653,"Oslo st.","link Bukčių",54.67007,25.19877,https://www.stops.lt/vilnius/index.html#stop/1653,,
6387,1630,"Pakalnučių st.","link Oslo g.",54.66911,25.21298,https://www.stops.lt/vilnius/index.html#stop/1630,,
16703,1667,"Paukščių takas","iš centro",54.67972,25.20699,https://www.stops.lt/vilnius/index.html#stop/1667,,
8328,1651,"Bijūnų st.","link Žvėryno",54.66729,25.21606,https://www.stops.lt/vilnius/index.html#stop/1651,,
9635,1655,"Gudeliai","link Žvėryno",54.67585,25.19278,https://www.stops.lt/vilnius/index.html#stop/1655,,
9636,1656,"Gudeliai","link žiedo",54.67558,25.19308,https://www.stops.lt/vilnius/index.html#stop/1656,,
16622,1652,"Lazdynėliai","įlaipinimas",54.66261,25.19196,https://www.stops.lt/vilnius/index.html#stop/1652,,
